site,date,Treatment,N,SWP,sd_SWP,se_SWP,VWC,sd_VWC,se_VWC
BlueChute,180912,Exl,3,-30.9609726230427,42.39454400945171,24.476501396028382,0.158125,0.026058561186510492,0.015044917315726167
CampColton,180607,Add,3,-142282.54816892656,123184.04734032479,71120.34289180413,0.03972463768115942,0.02765150167809264,0.015964601937344176
CampColton,180607,Ctrl,3,-6804.934676534245,9368.715219893402,5409.0302541664,0.043869565217391306,0.009492211512344478,0.00548033087185695
CampColton,180607,Exl,3,-632022.6102420987,1079270.5433152176,623117.1387114746,0.030869565217391304,0.010559132260847925,0.0060963178532094115
CampColton,180608,Add,3,-208335.22861436752,186307.08630344877,107564.44642923099,0.038125,0.02673919174171127,0.015437879549990022
CampColton,180608,Ctrl,3,-10128.310717970415,14435.879359393617,8334.558834134868,0.041930555555555554,0.00964979970047354,0.005571314454694369
CampColton,180608,Exl,3,-876553.463193231,1499227.9560219655,865579.6639858943,0.029972222222222223,0.010049040630457844,0.005801816313092323
CampColton,180609,Add,3,-288261.4549295741,262746.2148341514,151696.59786305256,0.036625,0.02591023500043521,0.014959281152267733
CampColton,180609,Ctrl,3,-15764.414648650874,23264.836871398766,13431.959830354808,0.03993055555555555,0.009805870312858138,0.0056614218647672064
CampColton,180609,Exl,3,-1176976.3161063748,2015447.1519790676,1163618.9557325793,0.029,0.009813185574068756,0.005665645332796349
CampColton,180610,Add,3,-470786.5180243956,471172.26269003097,272031.43269877444,0.035194444444444445,0.025530358199892432,0.014739959179215466
CampColton,180610,Ctrl,3,-24800.374790567832,37829.42338679438,21840.82777565406,0.03818055555555555,0.010125028577920345,0.005845687975014965
CampColton,180610,Exl,3,-1616449.2453193069,2771711.436476951,1600248.343965932,0.028041666666666666,0.009643650760992955,0.005567764362830022
CampColton,180611,Add,3,-684901.1719280876,722318.4721865769,417030.76435755944,0.034055555555555554,0.024824744506536517,0.014332572923412543
CampColton,180611,Ctrl,3,-34080.32047620406,52215.50437290988,30146.635505571605,0.036694444444444446,0.009903118663292855,0.005717568226068937
CampColton,180611,Exl,3,-3637416.56458242,6267564.336816535,3618579.957024325,0.02747222222222222,0.0091994049223809,0.005311278908320982
CampColton,180612,Add,3,-1060033.9340632837,1132929.815220169,654097.3337903176,0.033125,0.024442641189800524,0.014111965470636768
CampColton,180612,Ctrl,3,-57061.66991514156,90016.73726731395,51971.187492855526,0.035180555555555555,0.010172926124076886,0.005873341636181967
CampColton,180612,Exl,3,-3482312.561444181,5994699.265292573,3461041.234527519,0.027111111111111114,0.008857409536862553,0.005113827780430354
CampColton,180613,Add,3,-1152911.996397171,1266277.0095924716,731085.3723568479,0.032,0.02423592804770086,0.013992619582400494
CampColton,180613,Ctrl,3,-97486.89002369651,158398.16663252967,91451.2241444342,0.03352777777777778,0.010750107665266186,0.006206577554358893
CampColton,180613,Exl,3,-2519895.525186632,4323980.053555678,2496451.047890943,0.026416666666666665,0.009086486455782077,0.005246085401233671
CampColton,180614,Add,3,-1321014.7540090843,1475992.5780512828,852164.7122597978,0.03120833333333333,0.024093603634805463,0.01391044854430308
CampColton,180614,Ctrl,3,-118808.68180118228,194307.90253732746,112183.71983559759,0.03273611111111111,0.010633928710256375,0.0061395016034098086
CampColton,180614,Exl,3,-1861411.2565630465,3180360.9826536877,1836182.2694552895,0.026,0.009041666666666667,0.005220208683922867
CampColton,180615,Add,3,-2114608.5990302335,2715108.755874297,1567568.7710831354,0.03022222222222222,0.02402347424530463,0.013869959322396671
CampColton,180615,Ctrl,3,-119037.25504107036,192927.4787546932,111386.73179309793,0.03209722222222222,0.010209722127752839,0.0058945858188093805
CampColton,180615,Exl,3,-2667310.5932950606,4570057.73351374,2638524.062656289,0.025180555555555557,0.009393161421027613,0.0054231442749719
CampColton,180616,Add,3,-1714110.8442299224,1826075.1552966116,1054284.9824709864,0.07873611111111112,0.03350778136548341,0.01934572659130897
CampColton,180616,Ctrl,3,-394184.9846338206,668207.2435301291,385789.6319265779,0.06894444444444445,0.022541679502974372,0.013014444729028525
CampColton,180616,Exl,3,-896719381490098400,1553163528863777500,896719381485011100,0.0199875,0.009114498332936986,0.005262258066049564
CampColton,180617,Add,3,-0.3549826572003588,0.42897754517510034,0.24767030118314903,0.2069861111111111,0.03756578335006078,0.021688615129476754
CampColton,180617,Ctrl,3,-2.0860204772685687,3.1991709210118,1.8470421924297857,0.18131944444444445,0.05403159976484268,0.031195158668978044
CampColton,180617,Exl,3,-3586878692315129e3,6212656135676017e3,3586878692315129e3,0.04833888888888889,0.03485541199541859,0.020123781498270234
CampColton,180618,Add,3,-0.4868220339264688,0.5288522348967106,0.3053329801791511,0.19220833333333334,0.031373284592326495,0.01811337430474244
CampColton,180618,Ctrl,3,-0.8647727254039913,0.7914246859049594,0.45692925545054336,0.17544444444444443,0.035247053002632305,0.02034989553921077
