Date/time,Sample,Details,soilmass_g,BulkDensity,soil_pctC,temperature,CO2(ppmv)
3/4/19 16:30,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,8147.7
3/4/19 16:31,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,13500
3/4/19 16:36,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4488.9
3/4/19 16:37,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,11852.4
3/4/19 16:38,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,11592.3
3/4/19 16:39,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,17338.7
3/4/19 16:40,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,9879.4
3/4/19 16:41,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,10591.8
3/4/19 16:42,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,5334.6
3/4/19 16:45,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,11377.6
3/4/19 16:47,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,19359.8
3/4/19 16:48,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,2106.2
3/6/19 11:38,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,2772.9
3/6/19 11:39,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,2325.8
3/6/19 11:40,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,3731
3/6/19 11:41,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,6017.3
3/6/19 11:42,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,8893.1
3/6/19 11:43,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4323.3
3/6/19 11:44,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,8738.4
3/6/19 11:44,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,8940.8
3/6/19 11:47,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,8152.2
3/6/19 11:48,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,6641.7
3/6/19 11:49,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,6337.8
3/6/19 11:50,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,4389.2
3/6/19 11:52,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,8175
3/6/19 11:53,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,11170.4
3/6/19 11:54,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,17535.6
3/12/19 9:13,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,2807.4
3/12/19 9:15,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,5519.6
3/12/19 9:16,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,10105.3
3/12/19 9:16,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,8880
3/12/19 9:17,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,21956.4
3/12/19 9:20,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4314
3/12/19 9:21,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,17950.7
3/12/19 9:22,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,18787.1
3/12/19 9:23,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,7670.5
3/12/19 9:24,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,14009.3
3/12/19 9:25,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,14671
3/12/19 9:26,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,8704.3
